"Ann Weber","4/25/2023","221 x 127 x 61","Roof Deck","Bronze","","YM","86000","SF","Personages, Poetry (1/3)","Dolby Chadwick Gallery","2016","Own"
"Antoine, Éric ","1/22/2021","10.25 x 12.75","Master Lounge","Ambrotype","","YM","5500","Truckee","12 Juin Rose","Dolby Chadwick Gallery","2020","Own"
"Antoine, Éric ","1/22/2021","12.75 x 16.50","Master","Ambrotype","","YM","6200","770 Ladera","Cerveau VIII","Dolby Chadwick Gallery","2019","Own"
"Antoine, Éric ","1/22/2021","12 x 16","Master Lounge","Ambrotype","","YM","6200","Truckee","Cerveau XIII","Dolby Chadwick Gallery","2018","Own"
"Antoine, Éric ","1/22/2021","10.25 x 12.75","Master Lounge","Ambrotype","","YM","5500","Truckee","Child II","Dolby Chadwick Gallery","2020","Own"
"Antoine, Éric ","1/22/2021","10.25 x 12.75","Master Lounge","Ambrotype","","YM","5500","Truckee","Des Pieds Des Mains","Dolby Chadwick Gallery","2020","Own"
"Armstrong, Bill","1/22/2021","25.5 x 21.5","Master Toilet","Chromogenic Print","","YM","3500","Truckee","Portrait of Frida Kahlo (1/10)","Dolby Chadwick Gallery","2020","Own"
"Armstrong, Bill","1/22/2021","30.75 x 36.75","Guest Bedroom 2","Chromogenic Print","","YM","7200","Truckee","Unspoken 1502 (2/5)","Dolby Chadwick Gallery","2016","Own"
"Armstrong, Bill","1/22/2021","41 x 49","Staircase","Chromogenic Print","","YM","12500","Truckee","Unspoken 1508","Dolby Chadwick Gallery","2016","Own"
"Arranz-Bravo, Eduardo","","","","","","Mark","","Ghent: Pond House","","Franklin Bowles Gallery","","Own"
"Arranz-Bravo, Eduardo","","64 x 64","","Oil on Canvas","Gifted to Heroes","Young","55300","Gifted","","Franklin Bowles Gallery","","Gifted"
"Arranz-Bravo, Eduardo","","63.5 x 63","","Painting: Oil on Canvas","","Young","","Carpinteria","","Franklin Bowles Gallery","","Own"
"Arranz-Bravo, Eduardo","4/21/2007","36 x 30","","Painting: Oil on Canvas","","Mark","19000","Storage","""Angel Poeta VI"" ","Franklin Bowles Gallery","","Own"
