"2.8","01/01/2015","","16","Canon","EF 16-35mm 1:2.8 L II USM","Canon EF","35","2000","Gifted","5890655","","Amazon"
"2.8","12/29/2014","","24","Canon","EF 24-70mm 1:2.8 L II USM","Canon EF","70","1999","Gifted","1650001850","","Amazon"
"2.8","","","35","Canon","Serenar f:2.8 35mm","Leica Screw","","359","NYC","10715","","B&H"
"1.8","9/12/2025","","28","Canon","EF 28mm f/1.8 USM","Canon EF","","549","Storage","89280779","Own",""
"2.8","","","40","Canon","EF 40mm 1:2.8 STM","Canon EF","","149","Storage","9231102787","",""
"2.8","1/7/2015","","40","Canon","EF 40mm 1:2.8 STM","Canon EF","","200","Truckee","2051103734","","Amazon"
".95","11/8/2016","","50","Canon","50mm .95","Canon FD","","650","NYC","28565","","eBay"
".95","","","50","Canon","50mm 1:0.95","Leica M","","4000","Carpinteria","27031","","eBay"
"1.2","11/3/2016","","50","Canon","50mm f1:1.2","Leica Screw","","680","NYC","17603","",""
"2.5","Mar 24, 2013","","50","Canon","Compact Macro EF 50mm 1:2.5","Canon EF","","400","NYC","394626","",""
"1.2","1/7/2015","","50","Canon","EF 50mm 1:1.2 L USM","Canon EF","","2000","Gifted","5508248","","Amazon"
"1.4","Aug 8, 2012","","50","Canon","EF 50mm f/1.4 USM","Canon EF","","359","Storage","88584969","","Adorama"
"1.4","","","50","Canon","FD 50mm 1:1.4","Canon FD","","329","NYC","3078310","",""
"4.5","1/7/2015","","100","Canon","EF 100-400mm 1:4.5-5.6 L IS II USM","Canon EF","400","2000","Gifted","2400005586","","Amazon"
"2.8","12/29/2014","","100","Canon","Macro EF 100mm 1:2.8 L IS USM","Canon EF","","1999","Gifted","5999566 ","","Amazon"
"2.8","Sep 5, 2012","","45","Carl Zeiss","Carl Zeiss Distagon 2.8/45 T*","Contax 645","","795","NYC","8795827","",""
"4","4/18/2016","","50","Carl Zeiss","Distagon 4/50 *T FLE CFi","Hasselblad","","899","NYC","7262882","",""
"1.4","B&H","","50","Carl Zeiss","Planar 1,4/50 T*","Contax/Yashica","","725","NYC","8092468","",""
"2","","","50","Carl Zeiss","Planar 2/50 ZM T*","Leica M","","903","Truckee","15870641","",""
"2.8","4/18/2016","","80","Carl Zeiss","Planar 2.8/80 *T","Hasselblad","","300","NYC","6957012","",""
"2","Aug 5, 2012","","80","Carl Zeiss","Planar 2/80 T* ","Contax 645","","1283","NYC","8771517","",""
"2.8","Apr 5, 2012","","140","Carl Zeiss","Sonnar T* 140mm F2.8","Contax 645","","397","NYC","8780900","",""
"2","1/29/2021","","45","Carl Zeiss","Planar 2/45","Contax G","","237","Montecito","7563816","",""
"3.5","6/21/2017","","30","Hasselblad","XCD 3.5/30","Hasselblad XCD","","3995","NYC","2WVU10615","","Willoughby's"
"3.5","9/29/2016","","45","Hasselblad","XCD 3.5/45","Hasselblad XCD","","3500","Carpinteria","2uvt10190","","Willoughby's"
"3.5","5/25/2017","","45","Hasselblad","XCD 3.5/45 ","Hasselblad XCD","","3695","Archived","2UVT12784","","Amazon"
"4","11/19/2019","","45","Hasselblad","Xpan 4/45","Hasselblad","","350","NYC","8YER11208","",""
"2.8","5/15/2019","67","67","Hasselblad","XCD 65","Hasselblad XCD","","2750","Archived","2YVR10168","","Samy's"
"1.9","5/16/2019","","80","Hasselblad","XCD 80","Hasselblad XCD","","4845","NYC","","","Samy's"
"3.2","9/29/2016","","90","Hasselblad","XCD 90","Hasselblad XCD","","3500","NYC","2VVT10138","","Willoughby's"
"2.8","10/25/2022","72","38","Hasselblad","XCD 38mm f2.8","Hasselblad XCD","","3699","NYC","7392544117195","","B&H"
"4","10/27/2022","62","45","Hasselblad","XCD 45mm P","Hasselblad XCD","","1099","NYC","2PVH17495","","B&H"
"2.5","10/25/2022","72","55","Hasselblad","XCD 2,5/55V","Hasselblad XCD","","3699","NYC","7392544117188","","B&H"
"4","3/10/2023","62","45.316","Hasselblad","XCD 45mm P","Hasselblad XCD","","1099","Carpinteria","2PHV19943","","B&H"
"2.5","1/17/2024","72","55","Hasselblad","XCD 2.5/55V","Hasselblad XCD","","3699","Carpinteria","80HP14437","","B&H"
