"Platinum/Nakaya","2/2/2017","Breguet","Classique Fountain Pen","Medium","","2850","Carpinteria","Piston","Own","Fountain Pen","Tourbillon Boutique"
"International","11/30/2017","Breguet","Tradition Fountain Pen","Medium","","4300","NYC","Cartridge","Own","Fountain Pen",""
"International","2/7/2017","Danitrio","Ki-dame Yellow Tamenuri","Medium","","1200","Carpinteria","Cartridge","Own","Fountain Pen",""
"","2/9/2017","Danitrio","Uraraka","Medium","","6880","Carpinteria","Eyedropper","Own","Fountain Pen",""
"","12/5/2016","FP Journe","Ball Point Pen","Medium","","5000","NYC","","Own","Ball Point",""
"International","12/9/2016","FP Journe","Retractable Fountain Pen","Medium","","11500","NYC","Cartridge","Own","Fountain Pen","FP Journe Boutique"
"","1/13/2026","Kuru","Kuru Tonga Dive","Medium","","200","Carpinteria","","Own","Mechanical Pencil","Bungu"
"","","Montblanc","","","","4000","NYC","","Own","Ball Point",""
"","","Montblanc","Blue Sapphire Black/Platinum","","","485","Carpinteria","","Own","Ball Point",""
"Platinum/Nakaya","2/7/2017","Nakaya","Chinkin Dragonflies","Medium","","4000","Carpinteria","Cartridge","Own","Fountain Pen",""
"Platinum/Nakaya","2/23/2018","Nakaya","Karasu Kite and Crow","Medium","","2000","NYC","Cartridge","Own","Fountain Pen",""
"Pilot/Namiki","4/26/2019","Namiki","","Medium","","33600","NYC","Cartridge","Own","Fountain Pen",""
"Pilot/Namiki","9/24/2018","Namiki","Catfish & Gourd","Medium","","4900","NYC","Cartridge","Own","Fountain Pen",""
"","5/11/2020","Namiki","Emperor Shoki Limited Edition","Medium","","9600","Carpinteria","Eyedropper","Own","Fountain Pen",""
"Pilot-Namiki","","Namiki","Fall Flowers","Medium","","4000","Carpinteria","Cartridge","Own","Fountain Pen",""
"Pilot/Namiki","8/4/2018","Namiki","Frog","Medium","","4200","NYC","Cartridge","Own","Fountain Pen",""
"","12/5/2016","Namiki","Goldfish","Medium","","11500","Carpinteria","Eyedropper","Own","Fountain Pen","Fountain Pen Hospital"
"Pilot-Namiki","","Namiki","Hydrangea","Medium","","3200","Carpinteria","Cartridge","Own","Fountain Pen",""
"Pilot/Namiki","8/4/2018","Namiki","Kachimushi","Medium","","6000","NYC","Cartridge","Own","Fountain Pen",""
"Pilot-Namiki","","Namiki","Navy Blue","Fine","","144","Carpinteria","Cartridge","Own","Fountain Pen",""
"Pilot-Namiki","","Namiki","Nightline","Medium","","2800","Carpinteria","Cartridge","Own","Fountain Pen",""
"Pilot/Namiki","9/24/2018","Namiki","Noshi Bundle","Medium","","5900","Carpinteria","Cartridge","Own","Fountain Pen",""
"","2/6/2017","Namiki","Setsugekka","Broad","","14400","Storage","Eyedropper","Own","Fountain Pen",""
"","8/11/2018","Namiki","Toryumon","Medium","","10494","NYC","Eyedropper","Own","Fountain Pen","Aesthetic Bay"
"Pilot/Namiki","7/23/2018","Namiki","Urushi Collection Black","Medium","","1195","NYC","Cartridge","Own","Fountain Pen",""
"Pilot/Namiki","12/12/2016","Namiki","Urushi Collection Vermillion","Medium","","1195","NYC","Cartridge","Own","Fountain Pen",""
"","12/30/2016","Namiki","Urushi Collection Vermillion","Medium","","1195","Carpinteria","Eyedropper","Own","Fountain Pen","Fountain Pen Hospital"
"Pilot/Namiki","5/11/2020","Namiki","Yukari Daruma Limited Edition","Fine","","1700","Storage","Cartridge","Own","Fountain Pen",""
"","","Pelikan","K400 Black-Blue","Medium","","","NYC","","Own","Ball Point",""
"","5/11/2020","Pelikan","M1000 Raden Green Ray","Fine","","3120","Truckee","Piston","Own","Fountain Pen",""
"International","2/7/2017","Pelikan","Maki-e Spring and Autumn","Fine","","3600","NYC","Cartridge","Own","Fountain Pen",""
"Pilot-Namiki","","Pilot","","Fine","","136","NYC","Cartridge","Own","Fountain Pen",""
"","2/3/2017","Pilot","823","Medium","","215","NYC","Piston","Own","Fountain Pen","Amazon"
"","2/8/2017","Pilot","823 Amber","Medium","","215","Truckee","Piston","Own","Fountain Pen","Amazon"
"","2/8/2017","Pilot","823 Amber","Medium","","215","Carpinteria","Piston","Own","Fountain Pen","Amazon"
"Pilot/Namiki","7/23/2018","Pilot","Amber","Fine","","288","Ghent: Glass House","Cartridge","Own","Fountain Pen",""
"Pilot/Namiki","1/5/2021","Pilot","Falcon Resin Red","Fine","","225","Carpinteria","Cartridge","Own","Fountain Pen","Nibs.com"
"Pilot/Namiki","1/5/2021","Pilot","Vanishing Point Matte","Fine","","195","Carpinteria","Cartridge","Own","Fountain Pen","Nibs.com"
"","7/23/2018","Pineider","Key of Heaven","Medium","","479","NYC","Cartridge","Own","Fountain Pen",""
"Platinum/Nakaya","2/7/2017","Platinum","Urushi Yagumonuri","Medium","","960","NYC","Cartridge","Own","Fountain Pen",""
"","12/21/2016","S.T. Dupont","Atelier","Medium","","650","NYC","Cartridge","Own","Fountain Pen",""
"","","S.T. Dupont","Vertigo","","","","Carpinteria","","Own","Ball Point",""
"Sailor","7/23/2018","Sailor","","Medium","","288","NYC","Cartridge","Own","Fountain Pen",""
"Sailor","","Sailor","Dragonfly","Medium","","800","Carpinteria","Cartridge","Own","Fountain Pen",""
"Sailor","","Sailor","Koi","Medium","","700","NYC","Cartridge","Own","Fountain Pen",""
"Sailor","5/11/2020","Sailor","Pro Gear Slim Red Supernova","Fine","","200","Truckee","Cartridge","Own","Fountain Pen",""
"International","2/7/2017","Taccia","LE Autumn's Leaves","Fine","","1516","Carpinteria","Cartridge","Own","Fountain Pen",""
"International","","Waterman","","Medium","","140","NYC","Cartridge","Own","Fountain Pen",""
"","","Waterman","Amber Marine Ballpoint","","","145","NYC","","Own","Ball Point",""
"","","Waterman","Blue Lacquer GT","Medium","","","NYC","","Own","Ball Point",""
"","","Waterman","Rollerball Pen","Medium","","140","Carpinteria","","Own","Roller Ball","Amazon"
